data_type,year,plot_id,fuel_class,value,value_si,lab_year,lab_year_abbr,lab_fuel,lab_type,subset,statistic
wd,2019,RxF02,hr0100,0,0,2 Years post-fire (2019),2-y post-fire (2019),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2019,RxF02,hr1000r,0,0,2 Years post-fire (2019),2-y post-fire (2019),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
wd,2019,RxF02,hr1000s,0,0,2 Years post-fire (2019),2-y post-fire (2019),1000-hr sound,Coarse woody debris,yr_plot_class,mean
wd,2019,RxF03,hr0001,0.13813265225834806,0.3096934063632163,2 Years post-fire (2019),2-y post-fire (2019),1-hr,Coarse woody debris,yr_plot_class,mean
wd,2019,RxF03,hr0010,1.175226205235115,2.634857152137128,2 Years post-fire (2019),2-y post-fire (2019),10-hr,Coarse woody debris,yr_plot_class,mean
wd,2019,RxF03,hr0100,0.7357198829520523,1.649483977578501,2 Years post-fire (2019),2-y post-fire (2019),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2019,RxF03,hr1000r,4.664429649641668,10.45765127449662,2 Years post-fire (2019),2-y post-fire (2019),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
wd,2019,RxF03,hr1000s,0,0,2 Years post-fire (2019),2-y post-fire (2019),1000-hr sound,Coarse woody debris,yr_plot_class,mean
wd,2019,RxF04,hr0001,0.21065535652755868,0.4722893093347865,2 Years post-fire (2019),2-y post-fire (2019),1-hr,Coarse woody debris,yr_plot_class,mean
wd,2019,RxF04,hr0010,0.5892020068555045,1.320990899370041,2 Years post-fire (2019),2-y post-fire (2019),10-hr,Coarse woody debris,yr_plot_class,mean
wd,2019,RxF04,hr0100,0.7307486851364426,1.6383385520759044,2 Years post-fire (2019),2-y post-fire (2019),100-hr,Coarse woody debris,yr_plot_class,mean
wd,2019,RxF04,hr1000r,1.9561746019453374,4.385743457561446,2 Years post-fire (2019),2-y post-fire (2019),1000-hr rotten,Coarse woody debris,yr_plot_class,mean
wd,2019,RxF04,hr1000s,0,0,2 Years post-fire (2019),2-y post-fire (2019),1000-hr sound,Coarse woody debris,yr_plot_class,mean
